,transition_ts,category,idea_id,booking_request_id,to_state,space_id,country,city,portfolio_type,floor_size,floor_size_unit,start_on,end_on,price
40,2018-03-19 13:20:58.925,unique,17,125302,declined,3825,GB,London,7.0,500,0,2018-07-29 00:00:00,2018-07-29 00:00:00,55000
41,2018-03-18 13:14:57.078,unique,17,125303,submitted,4231,GB,London ,3.0,1500,0,2018-07-29 00:00:00,2018-07-29 00:00:00,13000
42,2018-03-20 14:00:44.071,unique,17,125303,declined,4231,GB,London ,3.0,1500,0,2018-07-29 00:00:00,2018-07-29 00:00:00,13000
43,2018-03-27 12:50:50.760,unique,17,127197,submitted,5326,GB,London ,8.0,1300,0,2018-08-11 00:00:00,2018-08-11 00:00:00,45000
44,2018-03-27 18:14:11.411,unique,17,127197,declined,5326,GB,London ,8.0,1300,0,2018-08-11 00:00:00,2018-08-11 00:00:00,45000
45,2018-04-12 10:16:43.083,unique,17,127196,declined,5476,GB,London ,3.0,120,0,2018-08-11 00:00:00,2018-08-11 00:00:00,17000
46,2018-03-27 12:47:52.200,unique,17,127196,submitted,5476,GB,London ,3.0,120,0,2018-08-11 00:00:00,2018-08-11 00:00:00,17000
47,2018-03-27 16:00:48.416,unique,17,127195,matched,4462,GB,London ,8.0,54,0,2018-08-11 00:00:00,2018-08-11 00:00:00,7000
48,2018-03-27 12:39:31.732,unique,17,127195,submitted,4462,GB,London ,8.0,54,0,2018-08-11 00:00:00,2018-08-11 00:00:00,7000
49,2018-05-04 08:27:30.259,unique,17,127195,declined,4462,GB,London ,8.0,54,0,2018-08-11 00:00:00,2018-08-11 00:00:00,7000
50,2018-03-18 12:59:03.411,unique,17,125300,submitted,3988,GB,London,8.0,400,0,2018-07-29 00:00:00,2018-07-29 00:00:00,17500
51,2018-03-27 18:14:25.069,unique,17,125300,declined,3988,GB,London,8.0,400,0,2018-07-29 00:00:00,2018-07-29 00:00:00,17500
52,2018-10-04 09:28:24.452,popup_shop,19,160158,declined,6602,GB,London,4.0,20,0,2018-10-06 00:00:00,2018-10-07 00:00:00,19000
53,2018-09-24 09:49:23.055,popup_shop,19,160156,declined,6558,GB,London,4.0,50,0,2018-10-15 00:00:00,2018-10-21 00:00:00,100000
54,2018-09-24 09:49:06.594,popup_shop,19,160157,declined,6505,GB,London,4.0,50,0,2018-10-01 00:00:00,2018-10-07 00:00:00,100000
55,2018-07-18 11:41:18.479,popup_shop,21,147553,submitted,3545,US,New York,2.0,8000,0,2018-09-03 00:00:00,2018-09-08 00:00:00,7500000
56,2018-07-18 20:36:51.030,popup_shop,21,147553,declined,3545,US,New York,2.0,8000,0,2018-09-03 00:00:00,2018-09-08 00:00:00,7500000
57,2018-07-18 21:54:08.555,popup_shop,21,147630,matched,3972,US,New York,3.0,5300,0,2018-09-02 00:00:00,2018-09-08 00:00:00,4117645
58,2018-07-18 20:36:43.786,popup_shop,21,147630,submitted,3972,US,New York,3.0,5300,0,2018-09-02 00:00:00,2018-09-08 00:00:00,4117645
59,2018-07-31 14:27:46.147,popup_shop,21,147630,booked,3972,US,New York,3.0,5300,0,2018-09-02 00:00:00,2018-09-08 00:00:00,4117645
60,2018-07-18 15:09:32.675,popup_shop,21,147620,submitted,4487,US,New York,3.0,3766,0,2018-09-03 00:00:00,2018-09-09 00:00:00,1500000
61,2018-07-19 21:38:22.536,popup_shop,21,147554,declined,4487,US,New York,3.0,3766,0,2018-09-03 00:00:00,2018-09-09 00:00:00,1500000
62,2018-07-18 11:41:18.605,popup_shop,21,147554,submitted,4487,US,New York,3.0,3766,0,2018-09-03 00:00:00,2018-09-09 00:00:00,1500000
63,2018-09-04 15:35:29.481,popup_shop,22,155558,submitted,481,GB,London,3.0,1178,0,2018-11-05 00:00:00,2018-11-18 00:00:00,406800
64,2018-09-04 17:39:04.690,popup_shop,22,155558,declined,481,GB,London,3.0,1178,0,2018-11-05 00:00:00,2018-11-18 00:00:00,406800
65,2018-09-10 12:24:42.272,popup_shop,22,155557,declined,5716,GB,London,3.0,440,0,2018-11-05 00:00:00,2018-11-15 00:00:00,392500
66,2018-09-04 15:35:29.367,popup_shop,22,155557,submitted,5716,GB,London,3.0,440,0,2018-11-05 00:00:00,2018-11-15 00:00:00,392500
67,2018-09-07 09:43:48.387,popup_shop,22,155559,declined,2689,GB,London,3.0,500,0,2018-11-05 00:00:00,2018-11-15 00:00:00,197820
68,2018-09-04 15:35:29.574,popup_shop,22,155559,submitted,2689,GB,London,3.0,500,0,2018-11-05 00:00:00,2018-11-15 00:00:00,197820
69,2018-06-08 17:34:31.931,sample_sale,25,140950,matched,3012,US,New York,3.0,255,0,2018-06-13 00:00:00,2018-06-17 00:00:00,385000
70,2018-06-06 15:44:27.767,sample_sale,25,140950,submitted,3012,US,New York,3.0,255,0,2018-06-13 00:00:00,2018-06-17 00:00:00,385000
71,2018-07-05 20:22:28.131,sample_sale,25,140950,declined,3012,US,New York,3.0,255,0,2018-06-13 00:00:00,2018-06-17 00:00:00,385000
72,2018-06-08 10:52:37.289,sample_sale,25,140951,matched,5528,US,New York,3.0,400,0,2018-06-12 00:00:00,2018-06-19 00:00:00,498750
73,2018-06-06 15:44:27.838,sample_sale,25,140951,submitted,5528,US,New York,3.0,400,0,2018-06-12 00:00:00,2018-06-19 00:00:00,498750
74,2018-06-26 20:01:25.060,sample_sale,25,140951,declined,5528,US,New York,3.0,400,0,2018-06-12 00:00:00,2018-06-19 00:00:00,498750
75,2018-06-08 18:31:43.360,sample_sale,25,141393,declined,5243,US,New York,3.0,350,0,2018-06-13 00:00:00,2018-06-19 00:00:00,470000
76,2018-06-08 16:21:09.786,sample_sale,25,141393,submitted,5243,US,New York,3.0,350,0,2018-06-13 00:00:00,2018-06-19 00:00:00,470000
77,2018-06-06 15:44:27.696,sample_sale,25,140949,submitted,4426,US,New York City,3.0,440,0,2018-06-13 00:00:00,2018-06-19 00:00:00,470000
78,2018-06-07 21:22:13.490,sample_sale,25,140949,declined,4426,US,New York City,3.0,440,0,2018-06-13 00:00:00,2018-06-19 00:00:00,470000
79,2018-11-01 10:45:30.230,popup_shop,26,148326,submitted,6018,GB,Manchester,4.0,30,0,2018-08-03 00:00:00,2018-08-03 00:00:00,2000
80,2018-11-01 10:45:36.879,popup_shop,26,148326,declined,6018,GB,Manchester,4.0,30,0,2018-08-03 00:00:00,2018-08-03 00:00:00,2000
81,2018-11-01 10:46:07.323,popup_shop,26,170383,submitted,6341,GB,Manchester,4.0,30,0,2018-11-01 00:00:00,2018-11-01 00:00:00,3000
82,2018-11-01 10:46:23.803,popup_shop,26,170383,matched,6341,GB,Manchester,4.0,30,0,2018-11-01 00:00:00,2018-11-01 00:00:00,3000
83,2018-11-05 09:01:38.830,popup_shop,26,170383,booked,6341,GB,Manchester,4.0,30,0,2018-11-01 00:00:00,2018-11-01 00:00:00,3000
84,2018-12-03 15:40:35.680,popup_shop,26,177406,submitted,6341,GB,Manchester,4.0,30,0,2018-12-04 00:00:00,2018-12-06 00:00:00,9000
85,2018-12-05 13:41:05.468,popup_shop,26,177406,booked,6341,GB,Manchester,4.0,30,0,2018-12-04 00:00:00,2018-12-06 00:00:00,9000
86,2018-12-03 15:40:42.996,popup_shop,26,177406,matched,6341,GB,Manchester,4.0,30,0,2018-12-04 00:00:00,2018-12-06 00:00:00,9000
87,2018-11-05 10:53:35.914,popup_shop,26,170924,submitted,6341,GB,Manchester,4.0,30,0,2018-11-06 00:00:00,2018-11-08 00:00:00,9000
88,2018-11-05 10:53:42.893,popup_shop,26,170924,matched,6341,GB,Manchester,4.0,30,0,2018-11-06 00:00:00,2018-11-08 00:00:00,9000
89,2018-11-05 15:41:25.265,popup_shop,26,170924,booked,6341,GB,Manchester,4.0,30,0,2018-11-06 00:00:00,2018-11-08 00:00:00,9000
90,2018-11-12 11:29:11.019,popup_shop,26,172875,submitted,6341,GB,Manchester,4.0,30,0,2018-11-13 00:00:00,2018-11-15 00:00:00,9000
91,2018-11-12 17:25:47.053,popup_shop,26,172875,booked,6341,GB,Manchester,4.0,30,0,2018-11-13 00:00:00,2018-11-15 00:00:00,9000
