,booking_request_id,to_state,ending_stage,country,city,city_ok,capital,portfolio_type,floor_size_cat,price_category,time_booked,time_create_booking,after_creation,times_booked_cat
0,164725.0,submitted / declined,declined,GB,London,london,1.0,2.0,40_60,100k_200k,6.0,9.259259259259259e-07,less_10s,5_7
1,141447.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,3.0,8.101851851851852e-07,less_10s,3_5
2,176364.0,submitted / matched / booked,booked,US,New York,new york,1.0,8.0,20_40,50k_100k,1.0,1.6203703703703703e-06,less_10s,inf_3
3,127255.0,submitted / declined,declined,GB,London,london,1.0,3.0,60_80,200k_500k,6.0,7.523148148148148e-07,less_10s,5_7
4,127258.0,submitted / declined,declined,GB,London,london,1.0,7.0,20_40,1_5millions,3.0,2.5694444444444443e-06,less_10s,3_5
5,127257.0,submitted / declined,declined,GB,London,london,1.0,7.0,20_40,1_5millions,3.0,1.9791666666666666e-06,less_10s,3_5
6,127259.0,submitted / declined,declined,GB,London,london,1.0,7.0,40_60,1_5millions,3.0,3.1597222222222224e-06,less_10s,3_5
7,127256.0,submitted / declined,declined,GB,London ,london,1.0,7.0,inf_20,1_5millions,3.0,1.388888888888889e-06,less_10s,3_5
8,165064.0,submitted / matched / declined,declined,GB,London,london,1.0,8.0,40_60,10k_50k,1.0,8.449074074074074e-07,less_10s,inf_3
9,167921.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,50k_100k,5.0,3.125e-06,less_10s,5_7
10,144034.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,41.0,17.736271898148146,sup_15j,sup_30
11,144077.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,41.0,1.701168414351852,1j_3j,sup_30
12,143671.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,41.0,7.638888888888889e-07,less_10s,sup_30
13,144032.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,41.0,17.736037858796298,sup_15j,sup_30
14,144033.0,declined,declined,FR,Paris,paris,1.0,3.0,inf_20,200k_500k,41.0,17.73619064814815,sup_15j,sup_30
15,144035.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,41.0,17.73635769675926,sup_15j,sup_30
16,139342.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,60_80,200k_500k,14.0,0.012210393518518518,10s_1h,10_15
17,139338.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,14.0,0.009571111111111112,10s_1h,10_15
18,139339.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,11.0,0.010735717592592592,10s_1h,10_15
19,139337.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,inf_20,100k_200k,6.0,9.375e-07,less_10s,5_7
26,160157.0,declined,declined,GB,London,london,1.0,4.0,inf_20,100k_200k,6.0,3.797177789351852,3j_15j,5_7
27,160156.0,declined,declined,GB,London,london,1.0,4.0,inf_20,100k_200k,6.0,3.797368310185185,3j_15j,5_7
28,160158.0,declined,declined,GB,London,london,1.0,4.0,inf_20,10k_50k,1.0,13.782801145833334,3j_15j,inf_3
29,147553.0,submitted / declined,declined,US,New York,new york,1.0,2.0,sup_200,sup_5millions,5.0,1.1805555555555556e-06,less_10s,5_7
30,147630.0,submitted / matched / booked,booked,US,New York,new york,1.0,3.0,sup_200,1_5millions,6.0,0.37182186342592594,1h_1j,5_7
31,147554.0,submitted / declined,declined,US,New York,new york,1.0,3.0,sup_200,1_5millions,6.0,2.638888888888889e-06,less_10s,5_7
32,147620.0,submitted,submitted,US,New York,new york,1.0,3.0,sup_200,1_5millions,6.0,0.14460993055555554,1h_1j,5_7
33,155558.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,200k_500k,13.0,2.453703703703704e-06,less_10s,10_15
34,155559.0,submitted / declined,declined,GB,London,london,1.0,3.0,40_60,100k_200k,10.0,3.5300925925925924e-06,less_10s,10_15
35,155557.0,submitted / declined,declined,GB,London,london,1.0,3.0,40_60,200k_500k,10.0,1.1342592592592592e-06,less_10s,10_15
36,140950.0,submitted / matched / declined,declined,US,New York,new york,1.0,3.0,20_40,200k_500k,4.0,1.7361111111111112e-06,less_10s,3_5
37,140949.0,submitted / declined,declined,US,New York City,new york,1.0,3.0,40_60,200k_500k,6.0,9.143518518518518e-07,less_10s,5_7
38,141393.0,submitted / declined,declined,US,New York,new york,1.0,3.0,20_40,200k_500k,6.0,2.0254880671296296,1j_3j,5_7
39,140951.0,submitted / matched / declined,declined,US,New York,new york,1.0,3.0,20_40,200k_500k,7.0,2.5578703703703702e-06,less_10s,7_10
42,170924.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,109.92877712962962,sup_15j,inf_3
43,172875.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,116.95348899305556,sup_15j,inf_3
44,174625.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,123.92320420138888,sup_15j,inf_3
45,175891.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,130.93870306712964,sup_15j,inf_3
46,177406.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,138.12807997685186,sup_15j,inf_3
47,178518.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,145.07776601851853,sup_15j,inf_3
48,179597.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,152.06420599537037,sup_15j,inf_3
49,141081.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,100k_200k,20.0,0.9078339930555556,1h_1j,15_30
50,140895.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,100k_200k,20.0,0.020238576388888888,10s_1h,15_30
51,141082.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,20.0,0.9078348842592593,1h_1j,15_30
52,141167.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,20.0,1.043876388888889,1j_3j,15_30
53,140873.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,20.0,6.944444444444445e-07,less_10s,15_30
54,146438.0,submitted / submitted / declined,declined,GB,London,london,1.0,8.0,40_60,50k_100k,3.0,1.1226851851851851e-06,less_10s,3_5
55,146660.0,declined,declined,GB,London,london,1.0,8.0,100_200,100k_200k,2.0,9.051767997685186,3j_15j,inf_3
56,146659.0,declined,declined,GB,London,london,1.0,8.0,80_100,50k_100k,2.0,9.051875104166667,3j_15j,inf_3
57,146661.0,declined,declined,GB,London,london,1.0,3.0,20_40,50k_100k,2.0,9.051532719907408,3j_15j,inf_3
58,146658.0,declined,declined,GB,London,london,1.0,7.0,sup_200,100k_200k,2.0,9.051446585648149,3j_15j,inf_3
66,132290.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,1_5millions,7.0,9.872685185185185e-06,less_10s,7_10
67,132291.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,200k_500k,7.0,1.0706018518518518e-05,less_10s,7_10
68,132287.0,submitted / declined,declined,GB,London,london,1.0,8.0,80_100,1_5millions,7.0,7.430555555555556e-06,less_10s,7_10
69,132285.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,1_5millions,7.0,5.798611111111111e-06,less_10s,7_10
70,132283.0,submitted / declined,declined,GB,London,london,1.0,3.0,40_60,1_5millions,98.0,4.212962962962963e-06,less_10s,sup_30
71,132284.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,50k_100k,7.0,5.011574074074074e-06,less_10s,7_10
72,132293.0,submitted / declined,declined,GB,London,london,1.0,3.0,60_80,100k_200k,7.0,1.2349537037037038e-05,less_10s,7_10
73,132288.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,500k_1millions,7.0,8.252314814814815e-06,less_10s,7_10
74,132636.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,500k_1millions,7.0,2.6797841435185186,1j_3j,7_10
75,132282.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,500k_1millions,7.0,3.402777777777778e-06,less_10s,7_10
76,132279.0,submitted / declined,declined,GB,London,london,1.0,8.0,60_80,200k_500k,7.0,9.259259259259259e-07,less_10s,7_10
77,132286.0,submitted / declined,declined,GB,London,london,1.0,8.0,80_100,500k_1millions,7.0,6.62037037037037e-06,less_10s,7_10
78,132292.0,submitted / declined,declined,GB,London,london,1.0,3.0,60_80,200k_500k,14.0,1.1527777777777777e-05,less_10s,10_15
79,132280.0,submitted / declined,declined,GB,London,london,1.0,8.0,sup_200,1_5millions,7.0,1.7361111111111112e-06,less_10s,7_10
80,132641.0,submitted / matched / declined,declined,GB,London,london,1.0,8.0,sup_200,1_5millions,7.0,2.1877553587962963,1j_3j,7_10
81,132281.0,submitted / declined,declined,GB,London,london,1.0,3.0,40_60,100k_200k,14.0,2.5578703703703702e-06,less_10s,10_15
82,132289.0,submitted / declined,declined,GB,London ,london,1.0,3.0,100_200,500k_1millions,14.0,9.074074074074074e-06,less_10s,10_15
85,123163.0,submitted / matched / declined,declined,GB,Leicester,leicester,0.0,6.0,60_80,500k_1millions,42.0,1.0532407407407408e-06,less_10s,sup_30
86,137480.0,submitted / matched / declined,declined,GB,Liverpool,liverpool,0.0,1.0,20_40,50k_100k,15.0,4.224491215277777,3j_15j,15_30
87,141381.0,submitted / matched / declined,declined,GB,Leeds,leeds,0.0,6.0,inf_20,10k_50k,2.0,44.10019956018518,sup_15j,inf_3
88,162748.0,submitted / declined,declined,FR,Paris,paris,1.0,8.0,100_200,500k_1millions,3.0,4.155092592592592e-06,less_10s,3_5
89,162746.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,100_200,200k_500k,3.0,2.1875e-06,less_10s,3_5
90,162747.0,submitted / declined,declined,FR,Paris,paris,1.0,8.0,100_200,1_5millions,3.0,3.1944444444444443e-06,less_10s,3_5
91,162749.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,sup_200,500k_1millions,3.0,5.150462962962963e-06,less_10s,3_5
92,154227.0,submitted / declined,declined,FR,Bordeaux,bordeaux,0.0,3.0,20_40,50k_100k,2.0,0.0018452199074074074,10s_1h,inf_3
93,154226.0,submitted / matched / declined,declined,FR,Bordeaux,bordeaux,0.0,3.0,60_80,100k_200k,2.0,1.1574074074074074e-06,less_10s,inf_3
94,154228.0,submitted / declined,declined,FR,Bordeaux,bordeaux,0.0,3.0,100_200,100k_200k,2.0,0.003082962962962963,10s_1h,inf_3
95,116357.0,submitted / declined,declined,US,New York,new york,1.0,3.0,sup_200,sup_5millions,29.0,2.1261574074074073e-05,less_10s,15_30
96,114596.0,submitted / matched / declined,declined,GB,London,london,1.0,2.0,40_60,100k_200k,6.0,15.781737638888888,sup_15j,5_7
97,114599.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,200k_500k,6.0,15.781688356481482,sup_15j,5_7
98,114598.0,submitted / declined / submitted / declined,declined,GB,London,london,1.0,3.0,80_100,500k_1millions,6.0,20.862976261574072,sup_15j,5_7
99,149815.0,declined,declined,US,New York City,new york,1.0,3.0,40_60,200k_500k,6.0,5.145947962962963,3j_15j,5_7
100,149816.0,declined,declined,US,New York,new york,1.0,3.0,20_40,200k_500k,6.0,5.145854456018519,3j_15j,5_7
105,126277.0,submitted / submitted / declined / matched / declined,declined,GB,London,london,1.0,8.0,80_100,200k_500k,1.0,3.0439814814814815e-06,less_10s,inf_3
106,126276.0,submitted / submitted / declined / matched / declined,declined,GB,London,london,1.0,8.0,100_200,200k_500k,1.0,2.2569444444444443e-06,less_10s,inf_3
107,126637.0,submitted / declined,declined,GB,London,london,1.0,8.0,sup_200,50k_100k,1.0,1.8452350810185185,1j_3j,inf_3
108,126275.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,50k_100k,6.0,1.0648148148148149e-06,less_10s,5_7
109,126632.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,50k_100k,6.0,1.8371669560185184,1j_3j,5_7
112,164523.0,submitted / matched / declined / matched / booked,booked,GB,London,london,1.0,4.0,20_40,50k_100k,7.0,1.4699074074074074e-06,less_10s,7_10
113,164524.0,submitted / declined,declined,GB,London,london,1.0,4.0,inf_20,10k_50k,1.0,2.002314814814815e-06,less_10s,inf_3
119,145243.0,declined,declined,GB,London,london,1.0,2.0,inf_20,100k_200k,13.0,19.048325219907408,sup_15j,10_15
120,145209.0,submitted / declined,declined,GB,London,london,1.0,2.0,inf_20,100k_200k,14.0,8.449074074074074e-07,less_10s,10_15
121,134072.0,submitted / declined,declined,US,New York,new york,1.0,6.0,inf_20,1_5millions,92.0,7.523148148148148e-07,less_10s,sup_30
122,120723.0,submitted / declined,declined,GB,London,london,1.0,3.0,20_40,1_5millions,214.0,4.2551784259259255,3j_15j,sup_30
123,120054.0,submitted / declined,declined,GB,London ,london,1.0,3.0,20_40,1_5millions,187.0,1.0532407407407408e-06,less_10s,sup_30
124,129384.0,submitted / declined,declined,FR,Cannes,cannes,0.0,3.0,100_200,200k_500k,7.0,1.1921296296296297e-06,less_10s,7_10
125,160926.0,submitted / declined,declined,US,New York,new york,1.0,4.0,inf_20,200k_500k,29.0,110.69133496527778,sup_15j,15_30
126,140779.0,submitted / declined / matched / booked,booked,US,New York,new york,1.0,3.0,80_100,100k_200k,1.0,1.4814814814814815e-06,less_10s,inf_3
127,162764.0,submitted / declined,declined,US,New York,new york,1.0,3.0,20_40,100k_200k,1.0,118.31526833333334,sup_15j,inf_3
130,146431.0,submitted / submitted / matched / declined,declined,GB,London,london,1.0,8.0,80_100,50k_100k,1.0,8.912037037037037e-07,less_10s,inf_3
134,158362.0,declined,declined,GB,London,london,1.0,8.0,100_200,500k_1millions,7.0,185.01947135416665,sup_15j,7_10
135,130374.0,submitted / declined,declined,GB,London,london,1.0,8.0,20_40,100k_200k,5.0,16.820944548611113,sup_15j,5_7
136,158363.0,declined,declined,GB,London,london,1.0,8.0,20_40,50k_100k,7.0,185.01931552083335,sup_15j,7_10
137,130376.0,submitted / matched / declined,declined,GB,London,london,1.0,8.0,60_80,100k_200k,5.0,16.820945659722224,sup_15j,5_7
138,126977.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,80_100,100k_200k,5.0,0.013845462962962962,10s_1h,5_7
139,130375.0,submitted / declined,declined,GB,London,london,1.0,3.0,80_100,100k_200k,5.0,16.820945138888888,sup_15j,5_7
140,158329.0,submitted / declined,declined,GB,London,london,1.0,1.0,80_100,500k_1millions,30.0,174.92656532407406,sup_15j,15_30
141,117240.0,submitted / declined,declined,FR,Paris,paris,1.0,8.0,60_80,100k_200k,3.0,1.9328703703703703e-06,less_10s,3_5
144,177767.0,submitted / declined,declined,US,New York,new york,1.0,3.0,100_200,sup_5millions,365.0,7.847721076388889,3j_15j,sup_30
145,177766.0,submitted / declined,declined,US,New York,new york,1.0,3.0,sup_200,sup_5millions,366.0,7.844614305555556,3j_15j,sup_30
146,179101.0,submitted / declined,declined,US,New York,new york,1.0,8.0,100_200,sup_5millions,366.0,7.842921076388889,3j_15j,sup_30
149,121221.0,submitted / declined,declined,GB,London,london,1.0,4.0,inf_20,10k_50k,3.0,8.217592592592592e-07,less_10s,3_5
150,127095.0,submitted / declined,declined,GB,London,london,1.0,6.0,20_40,sup_5millions,1910.0,7.291666666666666e-07,less_10s,sup_30
151,154965.0,submitted / declined,declined,GB,London,london,1.0,3.0,60_80,sup_5millions,182.0,1.1574074074074074e-06,less_10s,sup_30
152,161683.0,submitted / declined,declined,GB,London,london,1.0,3.0,60_80,100k_200k,6.0,10.02374732638889,3j_15j,5_7
153,160236.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,100k_200k,7.0,1.226851851851852e-06,less_10s,7_10
154,160621.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,100k_200k,7.0,2.969433298611111,1j_3j,7_10
155,160620.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,40_60,100k_200k,8.0,2.96767712962963,1j_3j,7_10
156,160237.0,submitted / declined,declined,GB,London,london,1.0,3.0,40_60,100k_200k,7.0,2.233796296296296e-06,less_10s,7_10
157,147466.0,submitted / matched / declined,declined,US,Brooklyn,brooklyn,0.0,7.0,sup_200,sup_5millions,10.0,1.2847222222222222e-06,less_10s,10_15
159,133893.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,500k_1millions,13.0,1.1226851851851851e-06,less_10s,10_15
160,125729.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,1_5millions,3.0,73.8739810300926,sup_15j,3_5
161,123296.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,100k_200k,4.0,65.96576716435185,sup_15j,3_5
162,125728.0,submitted / matched / declined,declined,GB,London,london,1.0,8.0,80_100,100k_200k,3.0,73.8732733449074,sup_15j,3_5
163,113109.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,40_60,200k_500k,16.0,9.921710138888889,3j_15j,15_30
164,113110.0,submitted / declined,declined,GB,London,london,1.0,3.0,sup_200,500k_1millions,16.0,9.922190069444444,3j_15j,15_30
165,123294.0,submitted / declined,declined,GB,London,london,1.0,8.0,80_100,500k_1millions,4.0,65.96141851851851,sup_15j,3_5
166,111692.0,submitted / matched / declined,declined,GB,London,london,1.0,8.0,80_100,500k_1millions,16.0,3.0555555555555556e-06,less_10s,15_30
167,123295.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,inf_20,200k_500k,4.0,65.96231368055555,sup_15j,3_5
168,123298.0,submitted / declined,declined,GB,London,london,1.0,7.0,60_80,100k_200k,5.0,65.97825890046296,sup_15j,5_7
169,123297.0,submitted / declined,declined,GB,London,london,1.0,8.0,60_80,200k_500k,5.0,65.97102527777778,sup_15j,5_7
170,111691.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,500k_1millions,16.0,2.3032407407407407e-06,less_10s,15_30
171,125718.0,submitted / matched / declined / matched / booked,booked,GB,London,london,1.0,3.0,20_40,500k_1millions,7.0,73.86312829861112,sup_15j,7_10
172,111690.0,submitted / declined,declined,GB,London,london,1.0,3.0,80_100,1_5millions,16.0,1.5277777777777778e-06,less_10s,15_30
173,125827.0,submitted / declined / submitted / declined,declined,GB,London,london,1.0,3.0,80_100,1_5millions,13.0,74.01591916666666,sup_15j,10_15
174,118308.0,declined,declined,GB,London,london,1.0,3.0,100_200,1_5millions,364.0,73.79857679398148,sup_15j,sup_30
175,118309.0,declined,declined,GB,London,london,1.0,3.0,20_40,sup_5millions,364.0,25.830806898148147,sup_15j,sup_30
176,125705.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,20_40,1_5millions,366.0,47.11239115740741,sup_15j,sup_30
177,116182.0,declined,declined,GB,London,london,1.0,3.0,40_60,1_5millions,364.0,1.0253869560185185,1j_3j,sup_30
178,118307.0,submitted / declined,declined,GB,London,london,1.0,3.0,40_60,1_5millions,364.0,12.972394016203705,3j_15j,sup_30
179,116184.0,declined / submitted / declined,declined,GB,London,london,1.0,3.0,60_80,1_5millions,364.0,11.118301631944444,3j_15j,sup_30
180,119213.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,60_80,1_5millions,179.0,18.011490949074073,sup_15j,sup_30
181,117777.0,submitted / declined,declined,GB,London,london,1.0,3.0,inf_20,1_5millions,179.0,11.100741840277777,3j_15j,sup_30
182,119281.0,submitted / matched / declined,declined,GB,London ,london,1.0,5.0,40_60,sup_5millions,364.0,18.07908482638889,sup_15j,sup_30
183,116183.0,declined,declined,GB,London,london,1.0,3.0,40_60,1_5millions,364.0,10.887483310185186,3j_15j,sup_30
184,125209.0,submitted / matched / declined,declined,GB,London,london,1.0,7.0,20_40,1_5millions,364.0,43.08667420138889,sup_15j,sup_30
185,122429.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,80_100,1_5millions,364.0,33.87844892361111,sup_15j,sup_30
186,180012.0,declined,declined,FR,Paris,paris,1.0,3.0,60_80,200k_500k,6.0,33.188705856481484,sup_15j,5_7
187,178138.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,3.0,2.1296296296296298e-06,less_10s,3_5
188,178202.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,5.0,0.2425188425925926,1h_1j,5_7
189,178201.0,declined,declined,FR,Paris,paris,1.0,8.0,40_60,500k_1millions,6.0,33.18878574074074,sup_15j,5_7
190,178200.0,declined,declined,FR,Paris,paris,1.0,8.0,40_60,500k_1millions,6.0,33.188880347222224,sup_15j,5_7
191,178267.0,submitted / declined,declined,FR,Lyon,lyon,0.0,3.0,100_200,100k_200k,1.0,1.6782407407407408e-06,less_10s,inf_3
194,149417.0,submitted / matched / declined,declined,GB,Manchester,manchester,0.0,8.0,sup_200,100k_200k,10.0,1.0300925925925926e-06,less_10s,10_15
197,153461.0,submitted / declined,declined,US,New York,new york,1.0,3.0,60_80,100k_200k,1.0,0.00975769675925926,10s_1h,inf_3
198,111532.0,submitted / declined,declined,GB,London,london,1.0,8.0,60_80,50k_100k,2.0,1.4930555555555555e-06,less_10s,inf_3
199,111534.0,submitted / declined,declined,GB,London,london,1.0,8.0,80_100,100k_200k,2.0,0.0070587152777777775,10s_1h,inf_3
200,146671.0,submitted,submitted,US,New York,new york,1.0,5.0,inf_20,100k_200k,4.0,9.722222222222222e-07,less_10s,3_5
206,175721.0,submitted / declined,declined,GB,Birmingham,birmingham,0.0,6.0,inf_20,100k_200k,13.0,1.388888888888889e-06,less_10s,10_15
207,128261.0,submitted / declined,declined,GB,Liverpool,liverpool,0.0,3.0,100_200,1_5millions,261.0,7.175925925925925e-07,less_10s,sup_30
208,163097.0,submitted / submitted / matched / booked,booked,GB,London,london,1.0,4.0,inf_20,10k_50k,1.0,45.07908865740741,sup_15j,inf_3
209,166473.0,declined,declined,GB,London,london,1.0,4.0,inf_20,200k_500k,30.0,59.972031342592594,sup_15j,15_30
210,118114.0,submitted,submitted,FR,Paris,paris,1.0,3.0,60_80,500k_1millions,30.0,1.7708333333333332e-06,less_10s,15_30
211,165621.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,8.0,100_200,500k_1millions,6.0,9.162886261574075,3j_15j,5_7
212,165620.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,8.0,100_200,500k_1millions,6.0,9.162934351851852,3j_15j,5_7
213,162986.0,declined,declined,FR,Paris,paris,1.0,8.0,100_200,500k_1millions,6.0,8.89127332175926,3j_15j,5_7
214,163332.0,declined,declined,FR,Paris,paris,1.0,7.0,sup_200,1_5millions,6.0,8.890663715277778,3j_15j,5_7
215,162987.0,declined,declined,FR,Paris,paris,1.0,8.0,100_200,500k_1millions,6.0,8.890838148148148,3j_15j,5_7
216,165619.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,100_200,500k_1millions,6.0,9.162980949074074,3j_15j,5_7
217,165105.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,sup_200,500k_1millions,6.0,7.987640972222223,3j_15j,5_7
218,162988.0,declined,declined,FR,Paris,paris,1.0,8.0,100_200,500k_1millions,6.0,8.89074943287037,3j_15j,5_7
219,163333.0,declined,declined,FR,Paris,paris,1.0,8.0,sup_200,1_5millions,6.0,8.890587268518518,3j_15j,5_7
221,112309.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,60_80,500k_1millions,10.0,4.989100763888889,3j_15j,10_15
222,112385.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,60_80,500k_1millions,10.0,5.1166733796296295,3j_15j,10_15
223,112314.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,17.0,4.989104791666667,3j_15j,15_30
224,112381.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,13.0,5.116670439814815,3j_15j,10_15
225,115354.0,submitted / declined / matched / booked,booked,FR,Paris,paris,1.0,3.0,40_60,500k_1millions,10.0,24.963366678240742,sup_15j,10_15
226,116708.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,60_80,200k_500k,10.0,31.99909875,sup_15j,10_15
227,115353.0,submitted / matched / matched / declined,declined,FR,Paris,paris,1.0,3.0,60_80,500k_1millions,14.0,24.963409247685185,sup_15j,10_15
228,112312.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,500k_1millions,10.0,4.989103206018519,3j_15j,10_15
229,112384.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,500k_1millions,10.0,5.116672638888889,3j_15j,10_15
230,112310.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,10.0,4.989101469907407,3j_15j,10_15
231,112382.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,10.0,5.116671157407407,3j_15j,10_15
232,119695.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,10.0,46.97361831018519,sup_15j,10_15
233,112307.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,13.0,4.989098981481481,3j_15j,10_15
234,112306.0,submitted / matched / matched / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,10.0,4.989098148148148,3j_15j,10_15
235,112313.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,40_60,500k_1millions,10.0,4.989103993055555,3j_15j,10_15
236,112311.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,500k_1millions,10.0,4.989102488425926,3j_15j,10_15
237,112383.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,500k_1millions,10.0,5.116671909722222,3j_15j,10_15
238,115666.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,10.0,25.221830787037035,sup_15j,10_15
239,112308.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,100k_200k,10.0,4.989100046296296,3j_15j,10_15
240,112611.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,10.0,24.961733784722224,sup_15j,10_15
241,112612.0,declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,10.0,24.961800092592593,sup_15j,10_15
242,115352.0,declined,declined,FR,Paris,paris,1.0,3.0,40_60,500k_1millions,14.0,24.963215972222223,sup_15j,10_15
243,176412.0,submitted / declined,declined,US,New York,new york,1.0,3.0,100_200,1_5millions,10.0,36.196074664351855,sup_15j,10_15
245,131647.0,submitted / matched / declined,declined,FR,Lyon,lyon,0.0,3.0,20_40,10k_50k,4.0,7.75462962962963e-07,less_10s,3_5
246,132964.0,submitted / declined,declined,FR,Lyon,lyon,0.0,5.0,inf_20,10k_50k,4.0,6.318041898148148,3j_15j,3_5
247,119475.0,submitted / matched / declined,declined,GB,London,london,1.0,8.0,100_200,1_5millions,30.0,1.9507801851851851,1j_3j,15_30
248,119473.0,submitted / declined,declined,GB,London,london,1.0,1.0,60_80,200k_500k,30.0,1.9507075347222222,1j_3j,15_30
249,152263.0,submitted / declined,declined,GB,London,london,1.0,8.0,sup_200,1_5millions,1.0,1.6782407407407408e-06,less_10s,inf_3
250,152392.0,submitted / declined,declined,GB,London,london,1.0,8.0,sup_200,1_5millions,1.0,0.9669711921296297,1h_1j,inf_3
251,152265.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,500k_1millions,1.0,3.599537037037037e-06,less_10s,inf_3
252,152397.0,declined,declined,GB,London,london,1.0,8.0,sup_200,1_5millions,1.0,77.04821810185186,sup_15j,inf_3
253,152264.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,500k_1millions,1.0,2.453703703703704e-06,less_10s,inf_3
