,booking_request_id,to_state,ending_stage,country,city,city_ok,capital,portfolio_type,floor_size_cat,price_category,time_booked,time_create_booking,after_creation,times_booked_cat
2517,166224.0,submitted / submitted / matched / declined,declined,GB,London,london,1.0,8.0,sup_200,sup_5millions,240.0,79.89364005787037,sup_15j,sup_30
2518,167422.0,submitted / declined,declined,GB,London,london,1.0,8.0,sup_200,sup_5millions,212.0,82.78485681712964,sup_15j,sup_30
2519,149123.0,submitted / declined,declined,GB,London,london,1.0,0.0,inf_20,1_5millions,42.0,8.101851851851852e-07,less_10s,sup_30
2520,149124.0,submitted / declined,declined,GB,London,london,1.0,0.0,inf_20,500k_1millions,42.0,1.550925925925926e-06,less_10s,sup_30
2521,167420.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,sup_5millions,242.0,82.78485586805556,sup_15j,sup_30
2522,167663.0,declined,declined,GB,London,london,1.0,7.0,100_200,sup_5millions,229.0,94.94129627314815,sup_15j,sup_30
2523,167424.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,sup_5millions,242.0,82.78485784722223,sup_15j,sup_30
2524,167418.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,sup_200,sup_5millions,201.0,82.78485480324073,sup_15j,sup_30
2525,167425.0,submitted / declined,declined,GB,London,london,1.0,5.0,80_100,sup_5millions,242.0,82.7848583912037,sup_15j,sup_30
2526,167423.0,submitted / declined,declined,GB,London ,london,1.0,3.0,100_200,sup_5millions,242.0,82.78485732638889,sup_15j,sup_30
2527,165504.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,sup_5millions,242.0,77.85987081018519,sup_15j,sup_30
2528,167417.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,sup_5millions,241.0,82.7848542013889,sup_15j,sup_30
2529,149125.0,submitted / declined,declined,GB,London,london,1.0,0.0,inf_20,500k_1millions,42.0,2.2685185185185184e-06,less_10s,sup_30
2530,166223.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,sup_5millions,242.0,79.8937018287037,sup_15j,sup_30
2531,167419.0,submitted / matched / declined,declined,GB,London,london,1.0,8.0,100_200,sup_5millions,199.0,82.7848553125,sup_15j,sup_30
2532,167660.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,sup_200,sup_5millions,242.0,82.92292005787037,sup_15j,sup_30
2533,167421.0,submitted / declined,declined,GB,London ,london,1.0,3.0,100_200,sup_5millions,242.0,82.78485635416666,sup_15j,sup_30
2534,166222.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,100_200,sup_5millions,242.0,79.89375496527778,sup_15j,sup_30
2535,167426.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,sup_5millions,242.0,82.78485898148148,sup_15j,sup_30
2536,167662.0,declined,declined,GB,London,london,1.0,3.0,sup_200,sup_5millions,273.0,82.94042689814815,sup_15j,sup_30
2537,120611.0,submitted,submitted,FR,Paris,paris,1.0,3.0,80_100,500k_1millions,20.0,7.523148148148148e-07,less_10s,15_30
