,id,city,space_id,idea_id,start_on,end_on,price_pounds
2675,121784,Brooklyn,5277,534,2018-03-17 00:00:00,2018-03-17 00:00:00,60000
2691,151401,New York,5311,537,2018-09-12 00:00:00,2018-09-18 00:00:00,840000
2702,143688,Paris,5638,540,2018-07-02 00:00:00,2018-07-08 00:00:00,380000
2705,155260,London,6434,541,2018-09-29 00:00:00,2018-09-29 00:00:00,1500
2834,143978,Brooklyn,6298,570,2018-07-14 00:00:00,2018-07-15 00:00:00,25000
2846,171880,Paris,4606,577,2018-12-06 00:00:00,2018-12-06 00:00:00,71875
2935,147002,London,6086,588,2018-09-03 00:00:00,2018-10-02 00:00:00,240000
3037,148548,New York,5241,607,2018-08-11 00:00:00,2018-08-11 00:00:00,49000
3043,166906,New York,4983,607,2018-11-03 00:00:00,2018-11-03 00:00:00,40000
3051,150615,Paris,4402,608,2018-11-30 00:00:00,2018-12-09 00:00:00,235950
3104,169896,London,2630,613,2018-11-25 00:00:00,2018-11-25 00:00:00,20000
3158,117943,London,3839,624,2018-07-16 00:00:00,2018-07-30 00:00:00,428000
3195,171007,New York,4303,630,2018-12-01 00:00:00,2018-12-31 00:00:00,1963323
3226,159059,London,3090,638,2018-11-07 00:00:00,2018-11-07 00:00:00,12500
3265,161642,Brighton ,2103,647,2018-12-12 00:00:00,2018-12-25 00:00:00,329000
3281,137476,London,367,647,2018-07-09 00:00:00,2018-07-22 00:00:00,308000
3332,146651,London,5563,652,2018-08-01 00:00:00,2018-08-01 00:00:00,4000
3476,177879,London,6941,676,2018-12-08 00:00:00,2018-12-23 00:00:00,0
3552,116420,London ,2538,705,2018-02-24 00:00:00,2018-03-02 00:00:00,400000
3610,112121,London,238,714,2018-03-01 00:00:00,2018-03-03 00:00:00,600000
3685,156766,London ,6569,722,2018-09-28 00:00:00,2018-09-28 00:00:00,20000
3742,153433,Paris,6524,732,2018-09-15 00:00:00,2018-09-16 00:00:00,35000
3777,140770,New York,6175,746,2018-06-20 00:00:00,2018-07-01 00:00:00,1440000
3877,121755,London,4842,751,2018-04-08 00:00:00,2018-06-08 00:00:00,467820
3957,113264,New York,4830,757,2018-02-07 00:00:00,2018-02-07 00:00:00,200000
3961,173123,New York,6412,758,2018-12-15 00:00:00,2018-12-16 00:00:00,23000
4020,131837,Paris,4986,769,2018-06-21 00:00:00,2018-06-27 00:00:00,283500
4099,151114,London,3840,782,2018-09-08 00:00:00,2018-09-21 00:00:00,14000
4128,127722,New York,5620,790,2018-06-07 00:00:00,2018-06-10 00:00:00,560000
4147,128613,Paris,4189,793,2018-05-04 00:00:00,2018-07-03 00:00:00,477050
4180,173109,London,6331,797,2018-11-22 00:00:00,2018-11-28 00:00:00,70000
4187,180593,London,6898,797,2019-01-03 00:00:00,2019-01-15 00:00:00,106500
4191,182354,London,6898,797,2019-01-16 00:00:00,2019-01-22 00:00:00,60900
4250,152544,London,6253,806,2018-11-05 00:00:00,2018-11-12 00:00:00,393534
4309,125802,London,3043,814,2018-05-08 00:00:00,2018-09-08 00:00:00,372600
4316,113808,London,2738,817,2018-06-28 00:00:00,2018-07-08 00:00:00,274750
4411,170877,London,3936,834,2018-11-23 00:00:00,2018-11-25 00:00:00,100500
4422,160823,London,5563,837,2018-11-21 00:00:00,2018-11-21 00:00:00,40000
